
"00:27:44,343","00:27:45,595
", ,CHARLIE

"00:27:45,678","00:27:47,555
",gold,CHARLIE

"00:27:47,597","00:27:48,848
", ,CHARLIE

"00:27:54,562","00:27:55,813
", ,STEVE

"00:27:55,896","00:27:57,815
",on set,CHARLIE

"00:28:04,030","00:28:05,448
",on,CHARLIE

"00:29:10,137","00:29:11,264
",on,LYLE

"00:29:12,348","00:29:13,349
",on,LYLE

"00:29:19,313","00:29:20,564
", ,STELLA

"00:29:20,648","00:29:22,483
",on,STELLA

"00:29:22,566","00:29:23,901
",gold,STELLA

"00:29:23,985","00:29:27,154
", ,STELLA

"00:29:31,701","00:29:32,618
", ,JOHN BRIDGER

"00:29:32,702","00:29:34,328
", ,RICHARD

"00:29:34,370","00:29:35,454
", ,STELLA

"00:29:35,538","00:29:37,373
", ,OFFICE

"00:29:37,456","00:29:38,958
",having on,JOHN BRIDGER

"00:29:39,041","00:29:40,084
", ,JOHN BRIDGER

"00:29:40,209","00:29:41,085
", ,JOHN BRIDGER

"00:29:41,210","00:29:42,295
", ,CHARLIE

"00:29:42,378","00:29:43,796
", ,HANDSOME ROB

"00:29:43,879","00:29:45,089
", ,HANDSOME ROB

"00:29:45,214","00:29:47,383
", ,HANDSOME ROB

"00:29:47,466","00:29:49,010
", ,STEVE

"00:29:49,093","00:29:50,511
",on,CHARLIE

"00:29:50,553","00:29:52,805
", ,CHARLIE

"00:29:52,888","00:29:54,390
", ,CHARLIE

"00:29:54,473","00:29:55,558
", ,YEVHEN

"00:29:58,185","00:29:59,729
", ,CHARLIE

"00:30:23,919","00:30:26,505
", ,KID

"00:30:26,589","00:30:27,632
", ,STELLA

"00:30:27,715","00:30:28,883
", ,CHARLIE

"00:30:28,966","00:30:31,552
",get,CHARLIE

"00:30:32,762","00:30:33,804
", ,CHARLIE

"00:30:33,888","00:30:34,931
", ,CHARLIE

"00:30:35,014","00:30:36,641
", ,CHARLIE

"00:30:41,187","00:30:44,106
", ,CHARLIE

"00:30:44,190","00:30:45,566
", ,CHARLIE

"00:30:45,650","00:30:48,778
",college,HALF-EAR

"00:30:48,861","00:30:50,696
", ,STEVE

"00:31:03,000","00:31:05,586
", ,STEVE

"00:31:08,339","00:31:09,298
", ,STEVE

"00:31:11,258","00:31:12,385
", ,STELLA

"00:31:13,761","00:31:15,054
", ,CHARLIE

"00:31:16,472","00:31:17,890
", ,HANDSOME ROB

"00:31:18,975","00:31:20,059
", ,RICHARD

"00:31:20,685","00:31:22,103
", ,LYLE

"00:31:22,186","00:31:23,104
", ,STELLA

"00:31:23,271","00:31:25,106
", ,CHARLIE

"00:31:25,147","00:31:27,775
", ,CHARLIE

"00:31:27,858","00:31:29,568
", ,LYLE

"00:31:29,652","00:31:30,736
", ,CHARLIE

"00:31:30,820","00:31:31,988
", ,CHARLIE

"00:31:32,071","00:31:33,114
", ,CHARLIE

"00:31:33,155","00:31:34,448
", ,CHARLIE

"00:31:34,532","00:31:35,533
", ,CHARLIE

"00:31:35,616","00:31:37,952
", ,CHARLIE

"00:31:38,035","00:31:40,413
", ,CHARLIE

"00:31:40,496","00:31:42,123
", ,CHARLIE

"00:31:42,164","00:31:44,375
",up,HANDSOME ROB

"00:31:47,336","00:31:49,005
", ,CHARLIE

"00:31:49,088","00:31:50,131
", ,CHARLIE

"00:31:50,298","00:31:51,632
",way,CHARLIE

"00:31:51,674","00:31:53,592
",set,CHARLIE

"00:32:02,476","00:32:04,645
", ,CHARLIE

"00:32:04,729","00:32:06,105
", ,CHARLIE

"00:32:06,188","00:32:07,773
",on,CHARLIE

"00:32:07,857","00:32:09,984
", ,CHARLIE

"00:32:10,067","00:32:11,569
", ,CHARLIE

"00:32:11,652","00:32:12,570
", ,CHARLIE

"00:32:12,653","00:32:14,655
",mess around,STELLA

"00:32:19,577","00:32:20,828
", ,STELLA

"00:32:20,911","00:32:23,414
", ,CHARLIE

"00:32:23,497","00:32:25,625
", ,CHARLIE

"00:32:25,708","00:32:28,377
", ,CHARLIE

"00:32:28,461","00:32:31,505
", ,STEVE

"00:32:31,589","00:32:33,007
",up,BULLY

"00:32:33,049","00:32:36,927
",on,HANDSOME ROB

"00:32:37,011","00:32:38,930
", ,HANDSOME ROB

"00:32:39,805","00:32:40,973
", ,HANDSOME ROB

"00:32:41,057","00:32:42,725
", ,CHARLIE

"00:32:42,808","00:32:43,768
", ,BURLY MAN

"00:32:43,851","00:32:46,312
", ,JOHN BRIDGER

"00:32:46,395","00:32:48,147
", ,COUNTER BABE

"00:32:49,231","00:32:50,149
", ,LYLE

"00:32:50,232","00:32:51,359
", ,JOHN BRIDGER

"00:32:51,400","00:32:52,610
", ,CHARLIE

"00:32:52,693","00:32:55,071
", ,CHARLIE

"00:32:55,154","00:32:56,072
", ,LYLE

"00:32:56,155","00:32:57,740
",up,SECOND COP

"00:32:57,823","00:32:59,325
", ,SECOND COP

"00:32:59,408","00:33:00,493
", ,CHARLIE

"00:33:00,576","00:33:02,787
", ,CHARLIE

"00:33:02,870","00:33:03,788
", ,CHARLIE

"00:33:03,871","00:33:04,997
", ,JOHN BRIDGER

"00:33:05,081","00:33:06,082
", ,JOHN BRIDGER

"00:33:06,207","00:33:07,375
", ,RICHARD

"00:33:07,416","00:33:08,876
",chips,HALF-EAR

"00:33:08,918","00:33:10,044
",change,HALF-EAR

"00:33:10,086","00:33:11,837
",get on,LYLE

"00:33:11,921","00:33:13,089
", ,LYLE

"00:33:15,633","00:33:16,968
", ,LYLE

"00:33:17,051","00:33:19,262
",on,STEVE

"00:33:19,345","00:33:21,514
", ,HALF-EAR

"00:33:21,597","00:33:22,848
", ,HALF-EAR

"00:33:22,932","00:33:24,350
", ,RICHARD

"00:33:24,433","00:33:25,851
",on leave,CHARLIE

"00:33:25,935","00:33:26,852
", ,CHARLIE

"00:33:26,936","00:33:28,020
", ,CHARLIE

"00:33:29,313","00:33:31,107
",help,STEVE

"00:33:31,190","00:33:34,402
",help set up,CHARLIE

"00:33:35,820","00:33:37,989
", ,STELLA

"00:33:38,072","00:33:42,660
", ,HANDSOME ROB

"00:33:42,743","00:33:45,579
", ,CHARLIE

"00:33:45,621","00:33:48,124
", ,STEVE

"00:33:48,291","00:33:49,583
", ,STELLA

"00:33:49,625","00:33:54,380
",long,STELLA

"00:33:54,463","00:33:56,924
", ,STELLA

"00:33:57,008","00:33:59,677
", ,STELLA

"00:33:59,760","00:34:03,723
", ,STELLA

"00:34:03,806","00:34:06,475
",out,STEVE

"00:34:06,559","00:34:08,227
", ,MASHKOV

"00:34:08,311","00:34:10,563
", ,CHARLIE

"00:34:10,646","00:34:12,106
", ,YEVHEN

"00:34:12,231","00:34:13,941
",out way get,CHARLIE

"00:34:14,025","00:34:15,776
", ,CHARLIE

"00:34:15,818","00:34:17,945
",on,CHARLIE

"00:34:18,029","00:34:19,530
", ,HANDSOME ROB

"00:34:19,614","00:34:21,032
", ,LYLE

"00:34:21,115","00:34:22,867
", ,LYLE

"00:34:22,950","00:34:23,951
",legal on,LYLE

"00:34:24,035","00:34:24,994
", ,LYLE

"00:34:25,077","00:34:26,537
",post,LYLE

"00:34:26,621","00:34:27,955
", ,LYLE

"00:34:28,039","00:34:29,498
",long,RECEPTIONIST

"00:34:29,582","00:34:31,208
",long,CHARLIE

"00:34:31,292","00:34:32,793
",long,STEVE

"00:34:32,877","00:34:34,629
", ,LYLE

"00:34:37,548","00:34:38,799
", ,STEVE

"00:34:38,883","00:34:40,676
",work on getting out,OFFICE

"00:34:40,760","00:34:42,428
", ,CHARLIE

"00:34:42,511","00:34:44,972
", ,STELLA

"00:34:45,014","00:34:46,515
", ,YEVHEN

"00:34:46,557","00:34:48,684
", ,HANDSOME ROB

"00:34:50,061","00:34:51,687
",on,CHARLIE

"00:34:51,771","00:34:53,230
", ,HANDSOME ROB

"00:34:53,314","00:34:54,357
", ,HANDSOME ROB

"00:34:55,983","00:34:57,902
", ,STEVE

"00:34:59,612","00:35:00,780
", ,STEVE

"00:35:00,863","00:35:01,906
", ,STELLA

"00:35:01,989","00:35:03,240
",get,JOHN BRIDGER

"00:35:03,324","00:35:04,450
", ,STELLA

"00:35:04,533","00:35:05,534
", ,STELLA

"00:35:05,618","00:35:08,412
", ,STEVE

"00:35:08,496","00:35:10,081
",long going,CHARLIE

"00:35:10,206","00:35:12,208
",get,CHARLIE

"00:35:42,613","00:35:44,407
", ,SECURITY GUARD

"00:35:44,490","00:35:45,825
", ,HALF-EAR

"00:35:45,908","00:35:47,743
", ,STELLA

"00:35:47,827","00:35:49,495
", ,CHARLIE

"00:35:49,578","00:35:52,123
", ,YEVHEN

"00:35:52,248","00:35:54,709
",up,CHARLIE

"00:35:54,750","00:35:57,920
", ,CHARLIE

"00:35:58,004","00:36:00,589
",party,CHARLIE

"00:36:00,673","00:36:01,966
", ,HALF-EAR

"00:36:02,049","00:36:04,010
", ,HALF-EAR

"00:36:04,093","00:36:06,053
",going up,STEVE

"00:36:06,137","00:36:07,221
", ,HALF-EAR

"00:36:07,305","00:36:08,556
",on,HALF-EAR

"00:36:08,639","00:36:10,016
",guard,SKINNY PETE

"00:36:10,099","00:36:11,058
", ,SKINNY PETE

"00:36:11,142","00:36:12,560
",on,DETECTIVE

"00:36:12,643","00:36:14,061
", ,CHARLIE

"00:36:14,103","00:36:17,064
", ,HALF-EAR

"00:36:17,106","00:36:18,482
", ,HALF-EAR

"00:36:18,566","00:36:20,693
", ,YEVHEN

"00:36:20,776","00:36:22,570
", ,YEVHEN

"00:36:24,447","00:36:26,073
", ,HANDSOME ROB

"00:36:27,617","00:36:28,909
", ,JOHN BRIDGER

